,0
105,"I am a telugu fan of Suriya. Last movie I enjoyed of suriya's is 24. His recent movies NGK , Bandobast, Gang, Singham 3 despite performing commercially well , they were huge disappoints of suriya films to me. This movie is perfect comeback for suriya. I felt movie so realistic except few mass scenes to show hero personality. Acting performences were amazing in the movie. Everyone justified their role in the movie. The sets and production values were nice.Sudha Kongara is an amazing director!"
106,"Wow, what a movie iam an entrepreneur and iam working hard to implement my idea and to get investment and movies like this give the inspiration for so many people like me, to do what bibeant to do, don't afraid of thinking big, best movie of the decade."
107,Cant say any words suriya did his career best performance. Special mentione to the director and aparna balamurali.
108,Mindblowing perfomance by Surya Sir.Really missed in theatres
109,His performance was mind blowing.its a multi package movie for all.an extraordinary acting from suriya after a long time.hatsof to the director brilliance.
110,"Well executed movie, which inspires everyone to focus on the society, equality, dreams, privileges and a lot more.. many layers of problems and reality spoken in the film.. I'm sure it has something for everyone.."
111,Wintage surya is back with bangggggg can't get over from scens...this is the real treat for the one who is waiting for surya movie
112,"Top class performence by acting department. Just Enjoy the BGM of GV Prakash it's really Great. Special Mention to Suriya Sir for such a class and exceptional performance especially from the army cap when Maaran get to know about his father was in such a critical condition, it was really a heart touching performance . Good Script & Direction. It's a perfect Sudha Kongara's Show... Thank You for such a good movie"
113,"After long time, I have seen a best movie and a super acting from actor Surya. It's truly worth your time to watch it."
114,This film is exactly what Surya wanted from the actor. Not only Surya but also the performances of Urvashi Chechi and Aparna gave a different level of feel. Make good movies like this and move on
115,"Only one word to describe this movie..""SIMPLY AMAZING""🔥🔥🔥🔥🔥🔥💞💞💞💞💞💞🔥🙏🙏🙏🙏🙏🙏🙏😍😍😍😍😍😍😍😍😘😘😘😘😘😘"
116,You won't regret watching this . It's worth watching.
117,"If you ever feel low in your life, go watch this film! What a film making what a performance by Suriya sir! #nadipinnayagan 💥"
118,"Don't tell this is a comeback for Suriya anna because doing a commercial movie and ruling box office is not his style. His acting left his haters speechless too. The scenes from this movie is filled with exterme emotions either it is sad or angry or love. Every single frame was lit. He will be a better actor, socialist and more over a better person than his idol. ❤❤"
119,A wonderful movie from sudha kongara perfect casting and perfect direction.A complete entertainer. Acting of Suriya is amazing.must watch it
120,"Suriya has not acted in this movie,He lived...Yes he is back .After seeing his potential in this film, expecting more from upcoming films...
Sudha mam a great effort from your side...
GVP also,I don't have words to express my excitement.
Those who had seen the film may had same situation,in Airport scene when Suriya is needing money,You might have filled with tears....Uff heart touching scene...
Anyway thanks Suriya Anna,Sudha Mam and all for this wonderful movie...."
121,"Acting, story, background music,direction, supporting character......
Every did their best
Suriya lived as mara
He deserve national award for acting"
122,Absolutely one of the best movies in recent times. Surya's comeback. It's a masterpiece.
123,You Can See His Dedication in Each and Every Second of the Movie #sooraripotru . . .
124,"Out standing movie. Must watch
This movie said, every body doing everything. Dreams become success.
Hats off cast and crew members"
125,"The movie is set in a backdrop of aviation
And the true story of captain GR Gopinath lifePerformance wise suriya just Nailed confirm awards worth performanceALL the characters are in the movie is good enoughWe love the director sudha kongara she's a ring master who used the lion in a proper way that's the special thing I liked in this directorFantastic movie and extraordinary performances"
126,Awesome inspirational movie.. must watch! Surya is back after a long time
127,Do not expect a typical tamil mass masala movie.... It's a beautiful narration of a extraordinary story.
128,This movie cannot be made better than this version. Surya lived as Maraa wow!!!
